,product_name,categories,destatis_category
177620,Nuss-Schinkenbrot,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Rye breads",Körnerbrot oder Vollkornbrot
177621,Haltbare Vollmilch,"H-Milch,Vollmilch",Vollmilch
177657,Haltbare fettarme Milch,"Dairies,Milch,Teilentrahmte Milch,H-Milch",Teilentrahmte Milch
177703,Frische Vollmilch vom Bauernhof,"Dairies,Milch,Vollmilch,Traditionell hergestellte Frischmilch,nicht-homogenisierte Milch",Vollmilch
177704,Bio-Apfel-Bananenmark,Apple compotes,Apfelmus oder andere Kernobstkonserve
177710,Glam Wedding Pink,Reise,Reiszubereitung
177711,Sparkling Volcano Terra,Reise,Reiszubereitung
177712,Sparkling Volcano Terra,Reise,Reiszubereitung
177713,Oriental Sensation Smoked,Reise,Reiszubereitung
177714,Indian Tiger Umbra,Reise,Reiszubereitung
177715,Royal Pearl Black,Reise,Reis
177716,Wizard of Laos,Reise,"Getreideprodukt, vegetarisch oder vegan"
177717,Java Kiss,Zucker,Zucker
177718,Ginger Kiss,Zucker,Zucker
177719,Oriental Kiss,Zucker,Zucker
177720,Tropical Reis,Reise,Reis
177721,Hom Mali Rice,Reise,Reis
177722,Vulkan Rice,Reise,Reis
177723,Lotao Zen Pates à base de riz,,Reiszubereitung
177724,Bali Pur fleur de sel,Salze,Speisesalz
177725,Glam Wedding Pink,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177726,Royal Pearl Black,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177727,Indian Tiger,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177728,Sparkling Volcano Terra,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177729,Oriental Sensation Smoked,Reise,Reiszubereitung
177730,Oriental Sensation Smoked,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177731,Vulkan Reis,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177732,Tropical Reis,Reise,Reis
177733,Hom Mali Reis,Reise,Reis
177734,,Zucker,Zucker
177735,,Zucker,Zucker
177736,,Zucker,Zucker
177737,,Salze,Speisesalz
177739,Reis Mix Rot,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise,Mixed rices",Reis
177740,Thai Duft Reis,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177741,Reis Mix Lila,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise,Mixed rices",Reis
177742,Betty's Mélange Lila,Reise,Reiszubereitung
177743,Betty's Riz Thai,Reise,Reis
177744,Betty's Melange de riz rouge,Reise,Reis
177745,Wizard of Laos,Reise,"Getreideprodukt, vegetarisch oder vegan"
177746,Lotao Royal Pearl Black,Reise,Reis
177747,Lotao Oriental Sensation Smoked,"Organic Certified,Sial Innovation Paris 2014",Fertiggericht aus Fleisch oder Fisch
177748,Lotao Sparkling Volcano Terra,Reise,Reiszubereitung
177749,Lotao Glam Wedding Pink,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices",Reis
177750,Lotao Indian Tiger Umbra,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices",Reis
177751,Lotao Wizard of Laos,Reise,Reiszubereitung
177752,Lotao Java Kiss,Zucker,Zucker
177753,Lotao Ginger Kiss,Zucker,Zucker
177754,Lotao Oriental Kiss,Zucker,Zucker
177755,Lotao Bali Pur Fleur de Sel,Salze,Gewürze
177756,Betty's Rice Mix Red,Reise,Reiszubereitung
177757,Betty's Thai Rice,Reise,Reis
177758,Betty's Rice Mix Lila,Reise,Reiszubereitung
177759,Lotao Coconut Oil,Kokosöle,Olivenöl
177760,Lotao Coconut Cream,,"Getreideprodukt, vegetarisch oder vegan"
177761,Sunria Tropical RIce,Reise,Reis
177763,Sunria Vulkan Rice,Reise,Reis
177764,Sunria Hom Mali Rice,Reise,Reis
177765,Lotao Rice Pasta,,Nudeln
177766,Oriental Sensation Smoked,Reise,Reiszubereitung
177767,Sparkling Volcano Terra,Reise,Reiszubereitung
177768,Wizard of Laos,Reise,"Getreideprodukt, vegetarisch oder vegan"
177769,Edel-Zartbitterschokolade Minze 52 % Kakao,en:Dark chocolates,Schokoladentafel
177771,Indian Tiger Umbra,Reise,Reiszubereitung
177772,Royal Pearl Black,Reise,Reis
177773,Glam Wedding Pink,Reise,Reiszubereitung
177774,Java Kiss,Zucker,Zucker
177775,Ginger Kiss,"Sweeteners,Zucker",Zucker
177776,Oriental Kiss,"Sweeteners,Zucker",Zucker
177777,Coconut Oil,Kokosöle,Olivenöl
177778,Coconut Butter,,Margarine oder Pflanzenfett
177779,Tropical Reis,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177780,Vulkan Rice,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177781,Hom Mali Rice,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177782,Betty's Thai Rice,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177783,Betty's Rice Mix Lila,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177784,Betty's Rice Mix Red,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177786,Zen Rice Pasta,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Pastas",Nudeln
177787,Zen Rice Pasta,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Pastas",Nudeln
177788,Royal Pearl Black,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177789,Glam Wedding Pink,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177790,Wizard of Laos,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177791,Indian Tiger Umbra,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177792,Sparkling Volcano Terra,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177793,Oriental Sensation Smoked,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177794,Java Kiss,"Sweeteners,Zucker",Süßstoff
177795,Oriental Kiss,"Sweeteners,Zucker",Zucker
177796,Ginger Kiss,"Sweeteners,Zucker",Zucker
177797,Coconut Butter,,Margarine oder Pflanzenfett
177798,Coconut Oil,Kokosöle,Olivenöl
177799,Vulkan Rice,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177800,Hom Mali Rice,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177801,Tropical Reis,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177802,Betty's Rice Mix Lila,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177803,Betty' Thai Rice,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Reise",Reis
177804,Betty's Rice Mix Red,Reise,Reiszubereitung
177805,Bali Pur fleur de Sel,Salze,Gewürze
177840,Sonnen Blumen Kerne,Sonnenblumenkerne,"Erdnüsse, Studentenfutter oder Ähnliches"
177841,Vitamin C+Zink,Vitamine,"Vitamintabletten, Magnesiumtabletten o.Ä."
177868,Rohmilch-Speisequark,"Milchprodukte,Käse,Frischkäse,Quark,Dreiviertelfettquark",Quark
177869,Griechische erlesene Oliven,,"Antipasti auf Gemüsebasis, ohne Oliven"
177890,Joghurt mild,"Milchprodukte,Joghurt",Joghurt
177892,Edel-Zartbitterschokolade Chili 52 % Kakao,en:Dark chocolates,Schokoladentafel
177896,Feine gemischte Nürnberger Oblaten-Lebkuchen,Lebkuchen,Kekse
177905,Zarbitter Schokolade mit gerösteten Mandelstückchen und Orangenstückchen,en:Dark chocolates,Schokoladentafel
177936,fibrestore,,"Vitamintabletten, Magnesiumtabletten o.Ä."
177937,Classic,,Fertigsuppe im Beutel oder Instantbrühe
177938,innergize!,Energy-Drinks,Energy-Drinks
177939,Pflaumen fruchtig & süß,Pflaumen,Zucker
177965,Schweizer Käse-Fondue Klassisch,"Milchprodukte,Käse,Fondue-Käse",Weichkäse
177966,Eliche rigate,Eiernudeln,Nudeln
177968,Pesto Spinat,"Groceries,Sauces,Nudelsoßen,Pestos","Soßenpulver, Soßenbinder oder Ähnliches"
177976,Thai Jasmin Premium Langkorn Reis,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Seeds,Getreide und Getreideprodukte,Getreidekörner,Reise,Aromatic rices,Indica rices,Long grain rices,Brown Jasmine rices,Brown rices,Jasmine rice",Reis
178045,Rappen Export,"Getränke,Alkoholische Getränke,Biere",Colagetränk
178046,Rappen A-C-E-Trunk,"Getränke,Non-sugared beverages",Mineralwasser ohne Kohlensäure
178059,Pesto Ricotta Walnuss,"Groceries,Sauces,Nudelsoßen,Pestos","Soßenpulver, Soßenbinder oder Ähnliches"
178061,Langengurger Wibele,Kekse,Kekse
178066,Irish Beef Hüftsteak,"Fleisch,Steaks,en:Beef steaks",Rindfleisch zum Kochen
178112,Frucht-Quatsch,Smoothies,Fertigdessert
178118,'s Gmender Näpperle,"Getränke,Alkoholische Getränke,Biere",Colagetränk
178141,Velohonig,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Pâtes à tartiner",Honig
178146,Party-Oliven,,"Antipasti auf Gemüsebasis, ohne Oliven"
178147,"Frischkäse Kräuter Doppelrahmstufe, wärmebehandelt",Frischkäse,Frischkäse
178148,"Frischkäse Kräuter Doppelrahmstufe, wärmebehandelt","Milchprodukte,Käse",Frischkäse
178150,Thunfisch Filets in Sonnenblumenöl,Thunfische in Sonnenblumenöl,Tiefgefrorenes Fischfilet
178157,Echte Langenburger Wibele,Kekse,Kekse
178182,Dosenbrot Vollkorn,Brote,Körnerbrot oder Vollkornbrot
178183,Smoothie Sunny-Green-Edition,Smoothies,Früchtetee oder Kräutertee
178205,Tripel,"Getränke,Alkoholische Getränke,Biere,Artisan products,Artisanal spirits,Craft beers",Biere
178213,VIF,"Getränke,Alkoholische Getränke,Biere,Artisan products,Artisanal spirits,Craft beers",N/A
178392,Orange-Karotte-Mango,Smoothie,Multivitaminsaft
178395,stadtScheibenhonig,Honige,Honig
178396,Dinkel Hafer Crunchy,Mixed cereal flakes,"Cornflakes, Müsli oder Ähnliches"
178413,Chia Samen,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Chia","Getreideprodukt, vegetarisch oder vegan"
178414,Skyr Aprikose-Sanddornbeere,Skyr,Joghurt
178423,,"Getränke,Milchprodukte,Dried products,Milch,Getrocknete Produkte zur Rehydrierung,Dehydrated beverages,Milchpulver,Ungezuckerte Getränke","Vitamintabletten, Magnesiumtabletten o.Ä."
178427,,Kakaopulver,Kakaopulver oder Ähnliches
178428,Joghurt nach Griechischer Art Brombeere,"Milchprodukte,Joghurt",Joghurt
178429,Trauben-Nuss Müsli,Frühstückscerealien,"Cornflakes, Müsli oder Ähnliches"
178435,Kartoffel,,Kartoffeln
178445,Winterbräu,"Beverages,Alcoholic beverages,Beers",Colagetränk
178480,,Lebkuchen,Kekse
178539,Celso Minussi,"Beverages,Hot beverages,Coffees,Non-sugared beverages",Bohnenkaffee
178552,Kangunu AA,"Getränke,Hot beverages,Kaffees,Ungezuckerte Getränke,Espresso",Bohnenkaffee
178576,vegan protein,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Substituts de viande,Protéine végétale texturée,Poudre de protéines","Vitamintabletten, Magnesiumtabletten o.Ä."
178577,,"Getränke,Hot beverages,Kaffees,Ungezuckerte Getränke",Kaffeepads oder Kaffeekapseln
178606,Graubrot mit Truthahn,,Roggenbrot oder Mischbrot
178612,Test Roast – Yummy Flavour,Kaffees,Bohnenkaffee
178615,Früchte Müsli,Müslis mit Früchten,"Cornflakes, Müsli oder Ähnliches"
178621,Grill Taler mit Maasdamer & Kräutern der Provence,"Milchprodukte,Käse",Hartkäse
178699,Biscuits Outdoor,Biscuits,Kekse
178700,Roti de porc,Roti de porc,Kasseler oder anderes Schweinefleisch
178701,Biscuits au blé,Biscuits blé,Kekse
178735,Protein Blaubeere,,"Vitamintabletten, Magnesiumtabletten o.Ä."
179008,Sonnenblumenmargarine,Margarinen,Margarine oder Pflanzenfett
179011,"Kalifornische Pflaumen getrocknet, entsteint & essfertig","getrocknete Pflaumen,entsteinte Pflaumen",Trockenobst
179013,Edel-Bitter-Schokolade Amazonas 60% Kakao,"Chocolats,Chocolats noirs,Snacks sucrés",Schokoladentafel
179015,Paprika Rosen scharf,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Groceries,Condiments,Gewürze,Paprika",Gewürze
179032,fettarmer Joghurt mild,Joghurt,Joghurt
179037,Orangenmarmelade,Konfitüren und Marmeladen,"Marmelade, Konfitüre oder Gelee"
179057,Café lyophilisé,"Getränke,Ungezuckerte Getränke,Lösliche Kaffees",Instantkaffee oder Ähnliches
179066,Almond,"Desserts,Surgelés,Desserts glacés,Glaces et sorbets,Glaces,Bâtonnets,Bâtonnets à la vanille","Süße Mandeln, Kokosraspeln oder Ähnliches"
179072,Hähnchenbrustfilet Teilstücke,"Fleisch,Poultries,Chickens,Chicken breasts",Frisches Geflügelfleisch
179079,Deliziosa Salame,"Tiefkühlprodukte,Frozen pizzas and pies,Tiefkühlpizza","Pizza, Quiches oder Ähnliches"
179080,Deliziosa Salame,Tiefkühlpizza,"Pizza, Quiches oder Ähnliches"
179081,Nasi Goreng,,Nudelfertiggericht
179095,Schlagsahne,"Dairies,Schlagsahne",Sahne
