Produkt,saisonstaerke,trendstaerke,Kategorie
Champignons oder andere Pilze,0.1802347108974902,0.9875610543534878,Gemüse & Gemüsekonserven
Weizenmehl,0.1795630504778285,0.9784108723117183,Getreide & Backwaren
Nudeln,0.176605310422007,0.9908313259454591,Getreide & Backwaren
"Tiefgefrorenes, tafelfertig zubereitetes Fleisch",0.17572888971736678,0.9961692446649618,Fleisch & Wurst
Bonbons,0.17518782635780383,0.9897104858048068,Zucker & Süßwaren
Tiefgefrorener Spinat,0.17481272624503474,0.9963961153845139,Gemüse & Gemüsekonserven
"Marmelade, Konfitüre oder Gelee",0.17203961561467096,0.9895254366318526,Zucker & Süßwaren
Backmischung für Kuchen,0.1719276014600306,0.990988365218225,Getreide & Backwaren
Stangenspargel oder andere Gemüsekonserve,0.1712402696249411,0.9911732962970824,Gemüse & Gemüsekonserven
Tiefgefrorenes Fischfilet,0.17111035993613777,0.9909389052737478,Fisch & Meeresfrüchte
Sportriegel,0.1699874448682973,0.9929397365315554,Sonstige Nahrungsmittel
Rinderroulade oder Rinderlende,0.16680132378310586,0.9847117529552942,Fleisch & Wurst
Kartoffelchips oder Kartoffelsticks,0.1665781915945136,0.9907925592961616,Gemüse & Gemüsekonserven
"Backpulver, Vanillezucker oder Ähnliches",0.16234739881569804,0.9897015056786104,Sonstige Nahrungsmittel
Puddingpulver,0.16183595090083058,0.9826783846994692,Sonstige Nahrungsmittel
Schweinekotelett oder Schweineschnitzel,0.16086755712128198,0.9676107983615018,Fleisch & Wurst
"Sandwich, Wrap oder Ähnliches",0.16066717750885784,0.9900622437843274,Sonstige Nahrungsmittel
"Kaugummi, Gummibärchen oder Ähnliches",0.16033313837209595,0.9910911188179456,Zucker & Süßwaren
Frischkäse,0.1584811591008093,0.9899183766103132,Milch & Milchgetränke
Buttermilch oder anderes Milchgetränk,0.15256746519198394,0.9661159409991839,Milch & Milchgetränke
Gemüsesaft,0.15191080722526829,0.9951119971438702,Säfte & Softdrinks
"Pommes frites oder Ähnliches, tiefgefroren",0.1487325813320034,0.9907469549129698,Gemüse & Gemüsekonserven
"Antipasti auf Gemüsebasis, ohne Oliven",0.14551996630825337,0.9908150253528012,Gemüse & Gemüsekonserven
Körnerbrot oder Vollkornbrot,0.1439708482578358,0.9947454315611691,Getreide & Backwaren
Quark,0.14181672449611793,0.9788983956675731,Milch & Milchgetränke
"Muffins, Waffeln oder andere Dauerbackwaren",0.14100730168771125,0.9931674509668196,Getreide & Backwaren
"Pizza, Quiches oder Ähnliches",0.13842736579430415,0.9912803054761319,Getreide & Backwaren
Essig,0.12953899167955263,0.9974782781998037,Sonstige Nahrungsmittel
Fertigdessert,0.1290067386118,0.9884722087019417,Milch & Milchgetränke
Lammfleisch,0.12861386319762502,0.9893521938903667,Fleisch & Wurst
Speiseeis,0.1282016209101987,0.987124265330183,Zucker & Süßwaren
"Cornflakes, Müsli oder Ähnliches",0.12402986237218838,0.9881167709737412,Getreide & Backwaren
Toastbrot,0.12402964723108112,0.9886952787012225,Getreide & Backwaren
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",0.12296594477234124,0.9206386742408619,Milch & Milchgetränke
Tiefgefrorene Meeresfrüchte,0.1211618790871466,0.9802027703535304,Fisch & Meeresfrüchte
Senf,0.11948415995006323,0.9899790696617864,Sonstige Nahrungsmittel
Erbsenkonserve,0.1191654605246244,0.9949170237493401,Gemüse & Gemüsekonserven
Bratwurst,0.1121295579810454,0.9888498270668574,Fleisch & Wurst
Tiefgefrorenes Geflügelfleisch,0.11009669286431523,0.9921624924329914,Fleisch & Wurst
Knäckebrot oder Zwieback,0.10505771567015465,0.9942927743189833,Getreide & Backwaren
"Säuglingsmilchnahrung, Pulverform",0.10497841844367017,0.9966066718634912,Sonstige Nahrungsmittel
Schmalz oder anderes tierisches Speisefett,0.10488100015587265,0.9906721106508912,Öle & Fette
Buttergemüse oder anderes tiefgefrorenes Gemüse,0.10440539689959094,0.996129345100661,Gemüse & Gemüsekonserven
Reis,0.10254918151378645,0.9915973214558805,Getreide & Backwaren
Kondensierte Milch,0.10103470740651055,0.9902925806079819,Milch & Milchgetränke
Hartkäse,0.10017794125642265,0.983929824870488,Milch & Milchgetränke
Olivenöl,0.09896563275048054,0.9924935168190082,Öle & Fette
Schnittkäse,0.08982808846644352,0.9817378009927075,Milch & Milchgetränke
"Sonnenblumenöl, Rapsöl oder Ähnliches",0.08514479675135711,0.9641576879383038,Öle & Fette
Tomatenketchup oder Gewürzketchup,0.08388319747299999,0.9912203540401471,Sonstige Nahrungsmittel
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,0.08386202586134306,0.9810484378736196,Fisch & Meeresfrüchte
Tiefgefrorenes Obst,0.08035834484001159,0.9714735102892476,Obst & Obstkonserven
Bohnenkaffee,0.07921094249416838,0.9752444537087314,"Kaffee, Tee & Kakao"
Reiszubereitung,0.07633242817597963,0.9947228021713409,Getreide & Backwaren
Fertignahrung für Säuglinge oder Kleinkinder,0.0728319065882127,0.9946384467356378,Sonstige Nahrungsmittel
Instantkaffee oder Ähnliches,0.06804676918360364,0.98720557825842,"Kaffee, Tee & Kakao"
Gewürze,0.0671744242841873,0.9901224001617106,Sonstige Nahrungsmittel
Tiefgefrorene Küchenkräuter,0.058129827300436365,0.9888085463776994,Sonstige Nahrungsmittel
Teilentrahmte Milch,0.052888883577170254,0.9810143019199931,Milch & Milchgetränke
Joghurt,0.05243948744229854,0.9861776171908984,Milch & Milchgetränke
Brötchen zum Fertigbacken,0.05238642148748507,0.9955621918801885,Getreide & Backwaren
Frisches Brötchen,0.05218255403609673,0.99632850596441,Getreide & Backwaren
Zucker,0.04705991243015972,0.9538828933321719,Zucker & Süßwaren
Vollmilch,0.04427011757735955,0.975270749713917,Milch & Milchgetränke
Salzgebäck,0.04143768261035874,0.9834455323531688,Getreide & Backwaren
Sahne,0.040572150466881785,0.9786061094206338,Milch & Milchgetränke
Pilzkonserve,0.03618486006856558,0.9931351289807331,Gemüse & Gemüsekonserven
Mayonnaise,0.015358163107700551,0.9936039122266963,Sonstige Nahrungsmittel
Fischmarinade,0,0.9949772843669268,Fisch & Meeresfrüchte
Hefegebäck,0,0.9973991616590222,Getreide & Backwaren
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",0,0.9966505632096728,Fisch & Meeresfrüchte
